TOURIST TYPE EN,TRIP TYPE,YEAR,DESTINATION PROVINCE NAME EN,Total VISITORS Number,SPENDS by SR
DOMESTIC,Overnight,2015,Albaha,"1,041,399","1,119,776,018.55"
DOMESTIC,Overnight,2015,Alqassim,"946,993","832,038,134.23"
DOMESTIC,Overnight,2015,Aseer,"5,091,717","6,482,489,011.94"
DOMESTIC,Overnight,2015,Eastern,"5,285,362","5,250,058,082.7"
DOMESTIC,Overnight,2015,Hail,"671,761","594,608,191.66"
DOMESTIC,Overnight,2015,Jazan,"2,075,500","2,052,357,580.14"
DOMESTIC,Overnight,2015,Jouf,"463,646","242,464,990.63"
DOMESTIC,Overnight,2015,Madinah,"7,360,507","5,104,914,333.92"
DOMESTIC,Overnight,2015,Makkah,"16,564,910","18,847,906,638.41"
DOMESTIC,Overnight,2015,Najran,"431,999","481,950,950.03"
DOMESTIC,Overnight,2015,Northern Borders,"399,410","272,320,695.92"
DOMESTIC,Overnight,2015,Riyadh,"4,953,129","6,158,091,087.58"
DOMESTIC,Overnight,2015,Tabuk,"1,164,099","980,110,103.01"
DOMESTIC,Overnight,2016,Albaha,"1,223,418","1,350,220,453.7"
DOMESTIC,Overnight,2016,Alqassim,"733,648","756,868,579.92"
DOMESTIC,Overnight,2016,Aseer,"4,988,344","7,689,910,265.41"
DOMESTIC,Overnight,2016,Eastern,"3,850,660","4,635,950,856.84"
DOMESTIC,Overnight,2016,Hail,"455,156","433,340,040.26"
DOMESTIC,Overnight,2016,Jazan,"2,352,393","3,388,679,838.09"
DOMESTIC,Overnight,2016,Jouf,"325,526","214,189,688.69"
DOMESTIC,Overnight,2016,Madinah,"7,878,855","5,471,893,624.97"
DOMESTIC,Overnight,2016,Makkah,"16,806,980","21,954,097,902.17"
DOMESTIC,Overnight,2016,Najran,"527,436","683,093,193.32"
DOMESTIC,Overnight,2016,Northern Borders,"276,208","332,550,298.45"
DOMESTIC,Overnight,2016,Riyadh,"4,467,876","7,518,353,886.28"
DOMESTIC,Overnight,2016,Tabuk,"1,149,985","999,842,922.66"
DOMESTIC,Overnight,2017,Albaha,"1,105,816","1,027,683,421.26"
DOMESTIC,Overnight,2017,Alqassim,"908,345","762,910,419.52"
DOMESTIC,Overnight,2017,Aseer,"5,321,921","5,888,650,696.46"
DOMESTIC,Overnight,2017,Eastern,"3,566,597","3,793,642,418.75"
DOMESTIC,Overnight,2017,Hail,"465,219","388,249,966.33"
DOMESTIC,Overnight,2017,Jazan,"1,885,456","2,380,169,194.22"
DOMESTIC,Overnight,2017,Jouf,"284,311","248,232,511.2"
DOMESTIC,Overnight,2017,Madinah,"7,236,427","5,199,505,788.1"
