TOURIST TYPE EN,TRIP TYPE,YEAR,VISIT PURPOSE GROUPED EN,VISITORS,SPENDS
DOMESTIC,Overnight,2015,Business,"1,859,752","3,247,666,761.42"
DOMESTIC,Overnight,2015,Leisure,"19,181,792","21,183,455,240.20"
DOMESTIC,Overnight,2015,Other,"2,335,328","4,059,351,265.38"
DOMESTIC,Overnight,2015,Religious,"11,972,476","10,156,925,174.59"
DOMESTIC,Overnight,2015,VFR,"11,101,085","9,771,687,377.12"
DOMESTIC,Overnight,2016,Business,"1,356,826","1,885,848,800.67"
DOMESTIC,Overnight,2016,Leisure,"18,054,534","24,317,838,783.94"
DOMESTIC,Overnight,2016,Other,"2,722,226","3,492,269,811.06"
DOMESTIC,Overnight,2016,Religious,"11,754,390","11,716,429,371.82"
DOMESTIC,Overnight,2016,VFR,"11,148,509","14,016,604,783.26"
DOMESTIC,Overnight,2017,Business,"1,456,779","1,940,710,118.45"
DOMESTIC,Overnight,2017,Leisure,"17,648,766","19,007,701,049.54"
DOMESTIC,Overnight,2017,Other,"1,138,634","1,593,770,367.59"
DOMESTIC,Overnight,2017,Religious,"11,278,393","10,820,928,946.27"
DOMESTIC,Overnight,2017,VFR,"12,298,005","12,737,131,454.84"
DOMESTIC,Overnight,2018,Business,"1,561,294","2,247,705,310.20"
DOMESTIC,Overnight,2018,Leisure,"16,731,284","19,046,255,585.96"
DOMESTIC,Overnight,2018,Other,"979,830","1,784,132,216.01"
DOMESTIC,Overnight,2018,Religious,"10,362,579","9,959,879,070.81"
DOMESTIC,Overnight,2018,VFR,"13,620,495","15,084,333,357.95"
DOMESTIC,Overnight,2019,Business,"1,461,304","2,250,890,397.88"
DOMESTIC,Overnight,2019,Leisure,"19,913,732","29,153,238,507.47"
DOMESTIC,Overnight,2019,Other,"890,197","1,681,592,550.41"
DOMESTIC,Overnight,2019,Religious,"11,046,695","12,358,652,477.97"
DOMESTIC,Overnight,2019,VFR,"14,493,260","15,761,508,559.69"
DOMESTIC,Overnight,2020,Business,"1,516,867","2,147,205,325.82"
DOMESTIC,Overnight,2020,Leisure,"20,577,322","23,187,700,571.97"
DOMESTIC,Overnight,2020,Other,"915,288","1,483,193,547.91"
DOMESTIC,Overnight,2020,Religious,"5,431,020","5,461,311,039.15"
DOMESTIC,Overnight,2020,VFR,"13,666,294","11,067,728,777.04"
DOMESTIC,Overnight,2021,Business,"5,430,190","9,138,071,765.30"
DOMESTIC,Overnight,2021,Leisure,"22,366,770","38,541,261,712.21"
DOMESTIC,Overnight,2021,Other,"2,975,248","8,270,195,074.02"
DOMESTIC,Overnight,2021,Religious,"5,459,224","9,937,806,860.34"
DOMESTIC,Overnight,2021,VFR,"27,602,466","36,296,777,610.74"
DOMESTIC,Overnight,2022,Business,"4,504,948","8,302,402,085.02"
DOMESTIC,Overnight,2022,Leisure,"29,862,909","44,345,737,713.36"
DOMESTIC,Overnight,2022,Other,"3,639,547","7,473,372,608.53"
DOMESTIC,Overnight,2022,Religious,"8,013,611","11,159,059,004.05"
DOMESTIC,Overnight,2022,VFR,"31,815,486","35,978,644,853.62"
DOMESTIC,Overnight,2023,Business,"8,194,991","16,389,777,568.62"
DOMESTIC,Overnight,2023,Leisure,"35,010,468","42,419,742,442.77"
DOMESTIC,Overnight,2023,Other,"3,756,687","7,215,900,531.75"
DOMESTIC,Overnight,2023,Religious,"9,925,299","12,068,931,836.51"
DOMESTIC,Overnight,2023,VFR,"25,032,917","36,312,381,170.65"
DOMESTIC,Overnight,2024,Business,"8,932,677","20,284,570,094.00"
DOMESTIC,Overnight,2024,Leisure,"32,296,481","36,830,257,199.88"
DOMESTIC,Overnight,2024,Other,"3,414,272","6,720,962,251.46"
DOMESTIC,Overnight,2024,Religious,"11,417,087","13,049,341,332.25"
DOMESTIC,Overnight,2024,VFR,"30,096,842","38,390,645,143.13"
DOMESTIC,Overnight,2025 H1,Business,"5,586,804","13,465,209,030.01"
DOMESTIC,Overnight,2025 H1,Leisure,"13,077,905","17,961,470,255.24"
DOMESTIC,Overnight,2025 H1,Other,"1,741,755","4,038,356,893.21"
DOMESTIC,Overnight,2025 H1,Religious,"7,849,987","10,226,310,270.83"
DOMESTIC,Overnight,2025 H1,VFR,"18,342,713","25,215,832,537.28"
