TOURIST TYPE EN,TRIP TYPE,YEAR,VISIT PURPOSE GROUPED EN,VISITORS,SPENDS
INBOUND,Overnight,2015,Business,"1,880,575"," 10,090,826,436.41 "
INBOUND,Overnight,2015,Leisure,"1,560,665"," 4,954,068,163.96 "
INBOUND,Overnight,2015,Other,"2,392,366"," 9,067,180,026.90 "
INBOUND,Overnight,2015,Religious,"8,813,773"," 47,765,821,025.68 "
INBOUND,Overnight,2015,VFR,"3,346,846"," 10,621,886,279.62 "
INBOUND,Overnight,2016,Business,"4,006,507"," 26,279,827,606.94 "
INBOUND,Overnight,2016,Leisure,"1,260,822"," 2,880,576,355.71 "
INBOUND,Overnight,2016,Other,"1,230,507"," 3,107,213,437.93 "
INBOUND,Overnight,2016,Religious,"8,259,668"," 54,090,577,861.06 "
INBOUND,Overnight,2016,VFR,"3,286,850"," 7,064,639,382.45 "
INBOUND,Overnight,2017,Business,"2,694,956"," 18,382,194,483.18 "
INBOUND,Overnight,2017,Leisure,"854,560"," 1,703,458,125.21 "
INBOUND,Overnight,2017,Other,"455,938"," 1,096,515,513.98 "
INBOUND,Overnight,2017,Religious,"9,287,024"," 70,909,143,514.32 "
INBOUND,Overnight,2017,VFR,"2,816,490"," 5,687,097,477.56 "
INBOUND,Overnight,2018,Business,"2,450,684"," 16,484,486,698.37 "
INBOUND,Overnight,2018,Leisure,"875,061"," 1,991,235,946.82 "
INBOUND,Overnight,2018,Other,"410,137"," 918,220,109.93 "
INBOUND,Overnight,2018,Religious,"9,293,265"," 68,837,791,922.50 "
INBOUND,Overnight,2018,VFR,"2,305,188"," 5,245,899,084.12 "
INBOUND,Overnight,2019,Business,"3,164,572"," 20,421,316,679.60 "
INBOUND,Overnight,2019,Leisure,"1,128,235"," 5,048,877,119.58 "
INBOUND,Overnight,2019,Other,"663,492"," 2,033,873,808.46 "
INBOUND,Overnight,2019,Religious,"9,859,392"," 68,077,020,229.56 "
INBOUND,Overnight,2019,VFR,"2,709,945"," 7,772,778,656.46 "
INBOUND,Overnight,2020,Business,"771,944"," 3,392,369,815.89 "
INBOUND,Overnight,2020,Leisure,"392,831"," 1,933,510,816.36 "
INBOUND,Overnight,2020,Other,"319,685"," 1,198,147,770.18 "
INBOUND,Overnight,2020,Religious,"1,751,520"," 11,101,690,375.76 "
INBOUND,Overnight,2020,VFR,"902,198"," 2,475,022,214.11 "
INBOUND,Overnight,2021,Business,"1,013,111"," 5,286,455,340.13 "
INBOUND,Overnight,2021,Leisure,"312,160"," 1,267,309,959.23 "
INBOUND,Overnight,2021,Other,"440,002"," 1,817,838,302.39 "
INBOUND,Overnight,2021,Religious,"273,857"," 1,783,254,227.18 "
INBOUND,Overnight,2021,VFR,"1,438,086"," 4,560,689,561.57 "
INBOUND,Overnight,2022,Business,"1,666,693"," 14,328,989,707.46 "
INBOUND,Overnight,2022,Leisure,"2,466,194"," 14,169,521,430.62 "
INBOUND,Overnight,2022,Other,"1,377,359"," 3,979,420,668.57 "
INBOUND,Overnight,2022,Religious,"5,995,518"," 40,193,414,433.04 "
INBOUND,Overnight,2022,VFR,"5,132,097"," 25,623,238,975.45 "
INBOUND,Overnight,2023,Business,"1,864,620"," 12,840,162,876.09 "
INBOUND,Overnight,2023,Leisure,"6,246,371"," 21,562,251,652.67 "
INBOUND,Overnight,2023,Other,"1,645,086"," 3,094,329,100.81 "
INBOUND,Overnight,2023,Religious,"11,466,358"," 77,391,254,455.52 "
INBOUND,Overnight,2023,VFR,"6,201,101"," 26,345,980,733.00 "
INBOUND,Overnight,2024,Business,"1,975,770"," 16,025,784,777.84 "
INBOUND,Overnight,2024,Leisure,"7,505,677"," 36,356,380,140.24 "
INBOUND,Overnight,2024,Other,"1,965,394"," 3,785,553,987.42 "
INBOUND,Overnight,2024,Religious,"12,330,971"," 93,580,407,420.78 "
INBOUND,Overnight,2024,VFR,"5,949,631"," 18,776,048,020.04 "
INBOUND,Overnight,2025 H1,Business,"1,069,711"," 7,825,889,291.64 "
INBOUND,Overnight,2025 H1,Leisure,"3,372,801"," 16,156,410,592.10 "
INBOUND,Overnight,2025 H1,Other,"783,761"," 1,870,955,228.04 "
INBOUND,Overnight,2025 H1,Religious,"6,848,541"," 58,800,603,453.84 "
INBOUND,Overnight,2025 H1,VFR,"2,233,087"," 5,800,428,629.78 "
