TOURIST TYPE EN,TRIP TYPE,YEAR,DESTINATION PROVINCE NAME EN,VISITORS,SPENDS
INBOUND,Overnight,2015,Albaha,"6,092","42,822,952.65"
INBOUND,Overnight,2015,Alqassim,"41,902","143,586,806.97"
INBOUND,Overnight,2015,Aseer,"59,257","503,026,385.00"
INBOUND,Overnight,2015,Eastern,"4,396,868","15,580,152,192.99"
INBOUND,Overnight,2015,Hail,"43,916","106,526,360.05"
INBOUND,Overnight,2015,Jazan,"20,138","208,396,395.43"
INBOUND,Overnight,2015,Jouf,"31,988","93,296,408.78"
INBOUND,Overnight,2015,Madinah,"307,877","842,720,216.07"
INBOUND,Overnight,2015,Makkah,"9,862,127","53,397,782,063.01"
INBOUND,Overnight,2015,Najran,"14,487","62,467,878.45"
INBOUND,Overnight,2015,Northern Borders,"890,335","867,276,682.64"
INBOUND,Overnight,2015,Riyadh,"2,020,931","9,897,315,080.70"
INBOUND,Overnight,2015,Tabuk,"298,307","754,412,509.83"
INBOUND,Overnight,2016,Albaha,586,"421,547.38"
INBOUND,Overnight,2016,Alqassim,"33,545","88,634,818.25"
INBOUND,Overnight,2016,Aseer,"3,932","14,450,405.63"
INBOUND,Overnight,2016,Eastern,"3,930,313","8,979,933,161.21"
INBOUND,Overnight,2016,Hail,"16,728","32,543,759.16"
INBOUND,Overnight,2016,Jazan,249,"989,507.33"
INBOUND,Overnight,2016,Jouf,"47,026","196,131,428.22"
INBOUND,Overnight,2016,Madinah,"323,538","1,229,358,857.67"
INBOUND,Overnight,2016,Makkah,"9,949,770","61,175,470,522.25"
INBOUND,Overnight,2016,Najran,"1,446","4,404,723.94"
INBOUND,Overnight,2016,Northern Borders,"360,755","582,980,616.89"
INBOUND,Overnight,2016,Riyadh,"3,242,398","20,738,642,070.75"
INBOUND,Overnight,2016,Tabuk,"134,066","378,873,225.42"
INBOUND,Overnight,2017,Alqassim,"68,203","178,746,708.58"
INBOUND,Overnight,2017,Aseer,846,"3,865,733.27"
INBOUND,Overnight,2017,Eastern,"3,002,289","7,538,588,025.98"
INBOUND,Overnight,2017,Hail,"10,559","30,308,141.15"
INBOUND,Overnight,2017,Jazan,"6,219","18,854,739.45"
INBOUND,Overnight,2017,Jouf,"53,956","237,848,381.65"
INBOUND,Overnight,2017,Madinah,"63,295","396,497,397.26"
INBOUND,Overnight,2017,Makkah,"10,532,831","75,812,243,698.74"
INBOUND,Overnight,2017,Northern Borders,"267,716","457,083,600.97"
INBOUND,Overnight,2017,Riyadh,"1,998,217","12,848,922,224.14"
INBOUND,Overnight,2017,Tabuk,"104,836","255,450,463.05"
INBOUND,Overnight,2018,Albaha,"4,093","46,993,654.81"
INBOUND,Overnight,2018,Alqassim,"75,186","189,806,316.09"
INBOUND,Overnight,2018,Aseer,"98,806","361,657,277.98"
INBOUND,Overnight,2018,Eastern,"2,598,689","7,157,912,506.50"
INBOUND,Overnight,2018,Hail,"13,107","42,938,043.90"
INBOUND,Overnight,2018,Jazan,"12,687","90,462,936.50"
INBOUND,Overnight,2018,Jouf,"57,895","241,904,660.81"
INBOUND,Overnight,2018,Madinah,"48,631","599,064,475.40"
INBOUND,Overnight,2018,Makkah,"10,036,451","72,041,901,626.60"
INBOUND,Overnight,2018,Najran,"15,337","48,389,759.40"
INBOUND,Overnight,2018,Northern Borders,"252,800","396,667,147.79"
INBOUND,Overnight,2018,Riyadh,"2,010,348","12,021,319,902.37"
INBOUND,Overnight,2018,Tabuk,"110,303","238,615,453.59"
INBOUND,Overnight,2019,Albaha,"2,570","14,728,511.64"
INBOUND,Overnight,2019,Alqassim,"110,138","406,379,817.82"
INBOUND,Overnight,2019,Aseer,"23,746","167,882,647.64"
INBOUND,Overnight,2019,Eastern,"2,899,726","9,536,753,230.95"
INBOUND,Overnight,2019,Hail,"14,567","37,244,237.03"
INBOUND,Overnight,2019,Jazan,16064.35,59267792.52
INBOUND,Overnight,2019,Jouf,43352.65,136317891.1
INBOUND,Overnight,2019,Madinah,55588.22,233756202.4
INBOUND,Overnight,2019,Makkah,10988625.29,74947518138
INBOUND,Overnight,2019,Najran,6502.96,10246183.51
INBOUND,Overnight,2019,Northern Borders,320308.41,560287387
INBOUND,Overnight,2019,Riyadh,2932592.64,16942815158
INBOUND,Overnight,2019,Tabuk,111855.25,300669296.8
INBOUND,Overnight,2020,Albaha,1704.98,8364383.47
INBOUND,Overnight,2020,Alqassim,38509.41,121967733
INBOUND,Overnight,2020,Aseer,14672.12,43032957.39
INBOUND,Overnight,2020,Eastern,920542.91,2744359100
INBOUND,Overnight,2020,Hail,9991.22,41558903.01
INBOUND,Overnight,2020,Jazan,8558.11,27916311.97
INBOUND,Overnight,2020,Jouf,18141.77,82667442.86
INBOUND,Overnight,2020,Madinah,11628.54,46116320.8
INBOUND,Overnight,2020,Makkah,1941573.38,11693680225
INBOUND,Overnight,2020,Najran,8720.48,69335105.37
INBOUND,Overnight,2020,Northern Borders,78036.19,144024270.1
INBOUND,Overnight,2020,Riyadh,1064604.9,4967276038
INBOUND,Overnight,2020,Tabuk,21494.23,110442201.3
INBOUND,Overnight,2021,Albaha,693.81,3063989.98
INBOUND,Overnight,2021,Alqassim,56088.74,238561534
INBOUND,Overnight,2021,Aseer,20305.09,105449337.2
INBOUND,Overnight,2021,Eastern,1187628.36,2905686494
INBOUND,Overnight,2021,Hail,90473.25,355249602
INBOUND,Overnight,2021,Jazan,4677.66,30322627.81
INBOUND,Overnight,2021,Jouf,17821.19,73305953.43
INBOUND,Overnight,2021,Madinah,19390.03,72365386.1
INBOUND,Overnight,2021,Makkah,688723.39,2963870428
INBOUND,Overnight,2021,Najran,4071.62,19310817.12
INBOUND,Overnight,2021,Northern Borders,126378.03,254799868.6
